municipio;distrito;tipo;caminho_relativo;url;motivo
Albergaria-a-Velha;Aveiro;OSM:gis_osm_natural_a_free_1;data/Aveiro/Albergaria-a-Velha/OSM_gis_osm_natural_a_free_1_Albergaria-a-Velha.zip;http://localhost:8000/data/Aveiro/Albergaria-a-Velha/OSM_gis_osm_natural_a_free_1_Albergaria-a-Velha.zip;HTTP 404
Anadia;Aveiro;OSM:gis_osm_natural_a_free_1;data/Aveiro/Anadia/OSM_gis_osm_natural_a_free_1_Anadia.zip;http://localhost:8000/data/Aveiro/Anadia/OSM_gis_osm_natural_a_free_1_Anadia.zip;HTTP 404
Anadia;Aveiro;OSM:gis_osm_places_a_free_1;data/Aveiro/Anadia/OSM_gis_osm_places_a_free_1_Anadia.zip;http://localhost:8000/data/Aveiro/Anadia/OSM_gis_osm_places_a_free_1_Anadia.zip;HTTP 404
Anadia;Aveiro;OSM:gis_osm_protected_areas_a_free_1;data/Aveiro/Anadia/OSM_gis_osm_protected_areas_a_free_1_Anadia.zip;http://localhost:8000/data/Aveiro/Anadia/OSM_gis_osm_protected_areas_a_free_1_Anadia.zip;HTTP 404
Arouca;Aveiro;OSM:gis_osm_railways_free_1;data/Aveiro/Arouca/OSM_gis_osm_railways_free_1_Arouca.zip;http://localhost:8000/data/Aveiro/Arouca/OSM_gis_osm_railways_free_1_Arouca.zip;HTTP 404
Castelo de Paiva;Aveiro;OSM:gis_osm_railways_free_1;data/Aveiro/Castelo_de_Paiva/OSM_gis_osm_railways_free_1_Castelo_de_Paiva.zip;http://localhost:8000/data/Aveiro/Castelo_de_Paiva/OSM_gis_osm_railways_free_1_Castelo_de_Paiva.zip;HTTP 404
Estarreja;Aveiro;OSM:gis_osm_natural_a_free_1;data/Aveiro/Estarreja/OSM_gis_osm_natural_a_free_1_Estarreja.zip;http://localhost:8000/data/Aveiro/Estarreja/OSM_gis_osm_natural_a_free_1_Estarreja.zip;HTTP 404
Estarreja;Aveiro;OSM:gis_osm_protected_areas_a_free_1;data/Aveiro/Estarreja/OSM_gis_osm_protected_areas_a_free_1_Estarreja.zip;http://localhost:8000/data/Aveiro/Estarreja/OSM_gis_osm_protected_areas_a_free_1_Estarreja.zip;HTTP 404
Murtosa;Aveiro;OSM:gis_osm_places_a_free_1;data/Aveiro/Murtosa/OSM_gis_osm_places_a_free_1_Murtosa.zip;http://localhost:8000/data/Aveiro/Murtosa/OSM_gis_osm_places_a_free_1_Murtosa.zip;HTTP 404
Murtosa;Aveiro;OSM:gis_osm_railways_free_1;data/Aveiro/Murtosa/OSM_gis_osm_railways_free_1_Murtosa.zip;http://localhost:8000/data/Aveiro/Murtosa/OSM_gis_osm_railways_free_1_Murtosa.zip;HTTP 404
Oliveira de Azeméis;Aveiro;OSM:gis_osm_natural_a_free_1;data/Aveiro/Oliveira_de_Azeméis/OSM_gis_osm_natural_a_free_1_Oliveira_de_Azeméis.zip;http://localhost:8000/data/Aveiro/Oliveira_de_Azem%C3%A9is/OSM_gis_osm_natural_a_free_1_Oliveira_de_Azem%C3%A9is.zip;HTTP 404
Oliveira de Azeméis;Aveiro;OSM:gis_osm_protected_areas_a_free_1;data/Aveiro/Oliveira_de_Azeméis/OSM_gis_osm_protected_areas_a_free_1_Oliveira_de_Azeméis.zip;http://localhost:8000/data/Aveiro/Oliveira_de_Azem%C3%A9is/OSM_gis_osm_protected_areas_a_free_1_Oliveira_de_Azem%C3%A9is.zip;HTTP 404
Oliveira do Bairro;Aveiro;OSM:gis_osm_natural_a_free_1;data/Aveiro/Oliveira_do_Bairro/OSM_gis_osm_natural_a_free_1_Oliveira_do_Bairro.zip;http://localhost:8000/data/Aveiro/Oliveira_do_Bairro/OSM_gis_osm_natural_a_free_1_Oliveira_do_Bairro.zip;HTTP 404
